0x1f600	grinning
0x1f601	grin
0x1f602	joy
0x1f603	smiley
0x1f604	smile
0x1f605	sweat smile
0x1f606	laughing
0x1f606	satisfied
0x1f607	innocent
0x1f608	smiling imp
0x1f609	wink
0x1f60a	blush
0x1f60b	yum
0x1f60c	relieved
0x1f60d	heart eyes
0x1f60e	sunglasses
0x1f60f	smirk
0x1f610	neutral face
0x1f611	expressionless
0x1f612	unamused
0x1f613	sweat
0x1f614	pensive
0x1f615	confused
0x1f616	confounded
0x1f617	kissing
0x1f618	kissing heart
0x1f619	kissing smiling eyes
0x1f61a	kissing closed eyes
0x1f61b	stuck out tongue
0x1f61c	stuck out tongue winking eye
0x1f61d	stuck out tongue closed eyes
0x1f61e	disappointed
0x1f61f	worried
0x1f620	angry
0x1f621	rage
0x1f622	cry
0x1f623	persevere
0x1f624	triumph
0x1f625	disappointed relieved
0x1f626	frowning
0x1f627	anguished
0x1f628	fearful
0x1f629	weary
0x1f62a	sleepy
0x1f62b	tired face
0x1f62c	grimacing
0x1f62d	sob
0x1f62e	open mouth
0x1f62f	hushed
0x1f630	cold sweat
0x1f631	scream
0x1f632	astonished
0x1f633	flushed
0x1f634	sleeping
0x1f635	dizzy face
0x1f636	no mouth
0x1f637	mask
0x1f638	smile cat
0x1f639	joy cat
0x1f63a	smiley cat
0x1f63b	heart eyes cat
0x1f63c	smirk cat
0x1f63d	kissing cat
0x1f63e	pouting cat
0x1f63f	crying cat face
0x1f640	scream cat
0x1f641	slightly frowning face
0x1f642	slightly smiling face
0x1f642	simple smile
0x1f643	upside down face
0x1f644	face with rolling eyes
0x1f645	no good
0x1f646	ok woman
0x1f647	bow
0x1f648	see no evil
0x1f649	hear no evil
0x1f64a	speak no evil
0x1f64b	raising hand
0x1f64c	raised hands
0x1f64d	person frowning
0x1f64e	person with pouting face
0x1f64f	pray
0x00a9	copyright
0x00ae	registered
0x203c	bangbang
0x2049	interrobang
0x2122	tm
0x2139	information source
0x2194	left right arrow
0x2195	arrow up down
